filename,sampling_weight,classes_present
000066_10.png,0.46940771288135463,"Road, Pole, Vegetation, Terrain, Sky, Car"
000187_10.png,1.4276478236738446,"Road, Sidewalk, Building, Fence, Pole, Traffic Light, Traffic Sign, Vegetation, Terrain, Sky, Car, Bus"
000101_10.png,0.9652661059454853,"Road, Wall, Pole, Traffic Sign, Vegetation, Terrain, Sky, Car, Truck"
000193_10.png,0.9793583273673849,"Road, Wall, Fence, Vegetation, Terrain, Sky, Person, Car, Truck"
000111_10.png,1.4276478236738446,"Road, Sidewalk, Building, Wall, Pole, Traffic Light, Vegetation, Terrain, Sky, Car, Train"
000121_10.png,0.7194668764235397,"Road, Sidewalk, Building, Pole, Traffic Light, Traffic Sign, Vegetation, Terrain, Sky, Car, Truck"
000013_10.png,1.4276478236738446,"Road, Sidewalk, Building, Fence, Pole, Traffic Light, Traffic Sign, Vegetation, Terrain, Sky, Person, Car, Truck, Bus, Bicycle"
000002_10.png,1.4276478236738446,"Road, Sidewalk, Building, Pole, Traffic Light, Traffic Sign, Vegetation, Terrain, Sky, Rider, Car, Truck, Bicycle"
000064_10.png,0.5128262371176174,"Road, Pole, Traffic Sign, Vegetation, Terrain, Sky, Car"
000044_10.png,0.634510143855042,"Road, Sidewalk, Building, Pole, Traffic Light, Traffic Sign, Vegetation, Terrain, Sky, Car"
000136_10.png,0.634510143855042,"Road, Sidewalk, Building, Pole, Traffic Light, Traffic Sign, Vegetation, Terrain, Sky, Car"
000170_10.png,0.7434556617129643,"Road, Sidewalk, Building, Fence, Pole, Traffic Light, Traffic Sign, Vegetation, Terrain, Sky, Car"
000128_10.png,0.9652661059454853,"Road, Sidewalk, Wall, Pole, Traffic Light, Vegetation, Terrain, Sky, Car"
000076_10.png,0.7194668764235397,"Road, Sidewalk, Pole, Traffic Light, Traffic Sign, Vegetation, Terrain, Sky, Car, Truck"
000158_10.png,0.5257025399087689,"Road, Sidewalk, Pole, Traffic Sign, Vegetation, Terrain, Sky, Car"
000167_10.png,2.158400629270619,"Road, Sidewalk, Building, Pole, Traffic Sign, Vegetation, Terrain, Sky, Person, Rider, Car, Motorcycle, Bicycle"
