filename,image_path,mask_path,valid_pixels,ignore_pixels,total_pixels,valid_fraction,pixels_road,contains_road,pixels_sidewalk,contains_sidewalk,pixels_building,contains_building,pixels_wall,contains_wall,pixels_fence,contains_fence,pixels_pole,contains_pole,pixels_traffic_light,contains_traffic_light,pixels_traffic_sign,contains_traffic_sign,pixels_vegetation,contains_vegetation,pixels_terrain,contains_terrain,pixels_sky,contains_sky,pixels_person,contains_person,pixels_rider,contains_rider,pixels_car,contains_car,pixels_truck,contains_truck,pixels_bus,contains_bus,pixels_train,contains_train,pixels_motorcycle,contains_motorcycle,pixels_bicycle,contains_bicycle
000000_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/image_2/000000_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/semantic/000000_10.png,465027,723,465750,0.9984476650563607,116061,1,7789,1,98002,1,4610,1,17753,1,1636,1,0,0,1562,1,116762,1,0,0,14847,1,513,1,0,0,85390,1,47,1,55,1,0,0,0,0,0,0
000001_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/image_2/000001_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/semantic/000001_10.png,461045,4705,465750,0.989898013955985,118209,1,26014,1,48174,1,15543,1,3311,1,10553,1,1147,1,3327,1,147635,1,32237,1,34390,1,1390,1,0,0,16390,1,0,0,451,1,161,1,2113,1,0,0
000002_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/image_2/000002_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/semantic/000002_10.png,456656,9094,465750,0.9804745034889962,109629,1,45285,1,162855,1,0,0,0,0,9380,1,5749,1,2751,1,75631,1,4720,1,836,1,0,0,9799,1,12816,1,947,1,0,0,0,0,0,0,16258,1
000003_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/image_2/000003_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/semantic/000003_10.png,459028,6722,465750,0.9855673644659152,103086,1,55585,1,117681,1,0,0,0,0,17607,1,0,0,11282,1,104113,1,18958,1,0,0,0,0,4755,1,10227,1,11486,1,0,0,0,0,708,1,3540,1
000004_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/image_2/000004_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/semantic/000004_10.png,427815,37935,465750,0.9185507246376812,60224,1,0,0,158742,1,0,0,309,1,0,0,0,0,0,0,45594,1,2024,1,6448,1,0,0,0,0,154029,1,99,1,0,0,0,0,0,0,346,1
000005_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/image_2/000005_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/semantic/000005_10.png,430930,34820,465750,0.9252388620504562,56963,1,0,0,144106,1,0,0,0,0,194,1,0,0,98,1,67462,1,0,0,4956,1,0,0,0,0,157151,1,0,0,0,0,0,0,0,0,0,0
000006_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/image_2/000006_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/semantic/000006_10.png,440050,25700,465750,0.9448201825013419,43868,1,115,1,156160,1,0,0,0,0,251,1,0,0,530,1,65001,1,383,1,681,1,0,0,0,0,173061,1,0,0,0,0,0,0,0,0,0,0
000007_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/image_2/000007_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/semantic/000007_10.png,464350,1400,465750,0.9969940955448202,116946,1,48813,1,2628,1,0,0,0,0,7280,1,1982,1,775,1,202053,1,29917,1,42359,1,770,1,0,0,8358,1,2254,1,0,0,0,0,0,0,215,1
000008_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/image_2/000008_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/semantic/000008_10.png,463992,1758,465750,0.9962254428341385,105901,1,42603,1,3024,1,0,0,0,0,5225,1,3619,1,2213,1,200440,1,12872,1,51470,1,2089,1,0,0,33835,1,0,0,0,0,0,0,0,0,701,1
000009_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/image_2/000009_10.png,/home/hrusikesh-nishank/miniconda3/envs/Segmentation/Datasets/KITTI/training/semantic/000009_10.png,463182,2568,465750,0.9944863123993559,131116,1,44927,1,3425,1,0,0,0,0,10943,1,5122,1,4457,1,176067,1,19786,1,46339,1,9419,1,0,0,11581,1,0,0,0,0,0,0,0,0,0,0
